alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
0.367384,1.114913,-0.730285,0.263543,-0.252588,-1.193608,-1.514533,1.054666,-0.817479,-0.150110,-1.182876,-1.233242,-0.068347
0.512668,1.121312,-0.678174,0.103008,-0.602930,-1.125078,-1.539580,1.485443,-1.079748,0.111979,-0.854506,-1.162765,-0.352089
0.301826,1.112026,-0.753800,0.335982,-0.094501,-1.224531,-1.503231,0.860284,-0.699133,-0.268375,-1.331050,-1.265043,0.059689
0.218989,1.108377,-0.783512,0.427515,0.105255,-1.263604,-1.488949,0.614666,-0.549593,-0.417812,-1.518278,-1.305227,0.221471
0.549369,1.122928,-0.665010,0.062455,-0.691431,-1.107767,-1.545908,1.594263,-1.146001,0.178186,-0.771555,-1.144962,-0.423766
0.301623,1.112017,-0.753873,0.336207,-0.094010,-1.224627,-1.503196,0.859679,-0.698765,-0.268743,-1.331510,-1.265142,0.060087
0.360859,1.114626,-0.732626,0.270753,-0.236853,-1.196686,-1.513408,1.035318,-0.805699,-0.161882,-1.197625,-1.236407,-0.055602
0.273004,0.828039,-0.566178,0.359419,-0.122682,-1.323406,-1.500605,0.400136,-0.865995,-0.244436,-1.433064,-0.972130,0.215591
0.436894,0.226592,-0.081201,0.160215,-0.728199,-1.429702,-1.533906,0.079412,-1.633112,0.214697,-1.142016,-0.231910,0.109964
0.339272,0.584849,-0.370081,0.278872,-0.367519,-1.366386,-1.514070,0.270454,-1.176173,-0.058789,-1.315381,-0.672828,0.172881
0.263405,0.863264,-0.594581,0.371085,-0.087220,-1.317181,-1.498655,0.418919,-0.821068,-0.271326,-1.450109,-1.015482,0.221777
0.412324,0.316758,-0.153906,0.190079,-0.637423,-1.413767,-1.528913,0.127494,-1.518110,0.145866,-1.185649,-0.342880,0.125799
0.216158,1.036654,-0.734394,0.428513,0.087343,-1.286538,-1.489055,0.511380,-0.599918,-0.403689,-1.534015,-1.228878,0.252228
0.386576,0.411250,-0.230100,0.221375,-0.542291,-1.397067,-1.523682,0.177882,-1.397590,0.073733,-1.231375,-0.459175,0.142394
0.355406,0.525637,-0.322336,0.259261,-0.427131,-1.376851,-1.517348,0.238879,-1.251695,-0.013588,-1.286728,-0.599954,0.162483
0.244836,0.931409,-0.649529,0.393655,-0.018614,-1.305138,-1.494882,0.455258,-0.734153,-0.323347,-1.483086,-1.099350,0.233745
0.380903,0.432070,-0.246888,0.228271,-0.521331,-1.393387,-1.522529,0.188984,-1.371035,0.057839,-1.241450,-0.484798,0.146050
0.234401,1.051165,-0.631832,0.480450,0.025273,-1.143228,-1.445111,0.579703,-0.526311,-0.094716,-1.609898,-1.332041,0.155830
0.281305,0.980865,-0.432314,0.516081,-0.141355,-0.979716,-1.395077,0.617948,-0.547101,0.359023,-1.661958,-1.352153,0.019798
0.217276,1.076832,-0.704677,0.467441,0.086109,-1.202926,-1.463379,0.565740,-0.518720,-0.260377,-1.590891,-1.324698,0.205496
0.784931,1.699676,-0.455627,0.828134,-0.662401,-1.568446,-1.552217,1.154783,-0.729176,0.488841,-0.908692,-1.233377,-0.559832
0.547553,1.460594,-0.591185,0.676279,-0.330999,-1.449601,-1.525139,0.910291,-0.640572,0.106753,-1.174936,-1.266710,-0.227013
0.578954,1.492221,-0.573253,0.696367,-0.374839,-1.465322,-1.528721,0.942633,-0.652293,0.157297,-1.139716,-1.262301,-0.271040
0.545900,1.458930,-0.592129,0.675222,-0.328692,-1.448773,-1.524951,0.908589,-0.639955,0.104093,-1.176789,-1.266942,-0.224696
0.524363,1.437238,-0.604428,0.661444,-0.298625,-1.437991,-1.522494,0.886407,-0.631916,0.069426,-1.200945,-1.269966,-0.194500
0.263206,1.174207,-0.753566,0.494376,0.065973,-1.307241,-1.492703,0.617423,-0.534437,-0.350937,-1.493859,-1.306639,0.171658
0.811546,1.726482,-0.440428,0.845160,-0.699557,-1.581771,-1.555253,1.182196,-0.739110,0.531681,-0.878840,-1.229640,-0.597148
0.316372,1.227754,-0.723204,0.528388,-0.008251,-1.333859,-1.498768,0.672182,-0.554281,-0.265359,-1.434228,-1.299173,0.097116
0.444284,1.356584,-0.650159,0.610216,-0.186827,-1.397899,-1.513359,0.803927,-0.602026,-0.059471,-1.290762,-1.281211,-0.082224
0.331755,1.243247,-0.714420,0.538228,-0.029727,-1.341560,-1.500523,0.688026,-0.560023,-0.240600,-1.416975,-1.297013,0.075549
0.014528,0.832911,-0.309653,0.293630,0.232607,-1.442989,-1.130500,-0.258054,-0.943832,-0.138416,-1.244420,-1.509565,-0.239024
-0.116337,0.635919,0.036106,0.180014,0.285739,-1.564241,-0.875994,-0.837317,-1.255404,0.090718,-1.012021,-1.648512,-0.600489
0.101080,0.963197,-0.538331,0.368774,0.197467,-1.362795,-1.298827,0.125060,-0.737764,-0.289961,-1.398125,-1.417668,0.000043
-0.054199,0.729456,-0.128069,0.233962,0.260511,-1.506667,-0.996840,-0.562268,-1.107462,-0.018081,-1.122370,-1.582537,-0.428856
-0.072108,0.702498,-0.080752,0.218414,0.267782,-1.523261,-0.962011,-0.641540,-1.150100,0.013276,-1.090566,-1.601552,-0.478323
0.192857,1.101350,-0.780817,0.448454,0.160205,-1.277760,-1.477316,0.531306,-0.519254,-0.450656,-1.561110,-1.320222,0.253544
-0.096120,0.666352,-0.017309,0.197566,0.277531,-1.545509,-0.915311,-0.747829,-1.207271,0.055320,-1.047923,-1.627047,-0.544648
-0.049126,0.737093,-0.141473,0.238367,0.258451,-1.501967,-1.006706,-0.539811,-1.095383,-0.026963,-1.131380,-1.577150,-0.414843
-0.038051,0.753764,-0.170735,0.247982,0.253954,-1.491705,-1.028245,-0.490789,-1.069015,-0.046355,-1.151047,-1.565391,-0.384252
0.118806,0.989881,-0.585167,0.384164,0.190270,-1.346371,-1.333301,0.203526,-0.695560,-0.320999,-1.429605,-1.398847,0.049006
0.514455,1.799749,-0.382853,0.284118,-0.233847,-0.826266,-1.344860,0.729246,-0.783864,-0.360994,-0.808113,-1.023872,-0.233690
0.756935,2.328377,-0.070880,0.155976,-0.533472,-0.484381,-1.237753,0.866788,-0.993213,-0.287156,-0.227721,-0.800858,-0.614192
0.330410,1.398514,-0.619643,0.381379,-0.006429,-1.085761,-1.426155,0.624851,-0.624966,-0.417037,-1.248636,-1.193141,0.055114
0.652219,2.100086,-0.205607,0.211315,-0.404077,-0.632026,-1.284007,0.807390,-0.902805,-0.319043,-0.478366,-0.897168,-0.449870
0.257577,1.239730,-0.713350,0.419869,0.083569,-1.188453,-1.458326,0.583537,-0.562084,-0.439215,-1.422968,-1.260128,0.169406
0.592684,1.970294,-0.282205,0.242777,-0.330512,-0.715968,-1.310305,0.773620,-0.851404,-0.337172,-0.620868,-0.951924,-0.356447
0.277168,1.282440,-0.688145,0.409516,0.059362,-1.160831,-1.449673,0.594650,-0.578998,-0.433249,-1.376076,-1.242110,0.138663
0.360231,1.463526,-0.581276,0.365620,-0.043277,-1.043715,-1.412983,0.641766,-0.650712,-0.407956,-1.177258,-1.165715,0.008319
0.750952,2.315332,-0.078579,0.159138,-0.526078,-0.492818,-1.240396,0.863394,-0.988047,-0.288979,-0.242044,-0.806362,-0.604802
0.748750,2.310533,-0.081411,0.160302,-0.523358,-0.495922,-1.241368,0.862145,-0.986146,-0.289649,-0.247313,-0.808387,-0.601348
0.037837,0.847027,-0.758986,0.425282,0.168963,-1.368885,-1.415306,0.477559,-0.468193,-0.518513,-1.369571,-1.286689,0.283504
-0.189417,0.474977,-0.712608,0.387183,0.183810,-1.504418,-1.315525,0.375324,-0.408913,-0.605412,-1.085678,-1.244874,0.310440
-0.042842,0.714943,-0.742521,0.411756,0.174234,-1.417002,-1.379882,0.441264,-0.447147,-0.549364,-1.268785,-1.271844,0.293067
-0.297524,0.297988,-0.690545,0.369059,0.190873,-1.568892,-1.268058,0.326690,-0.380713,-0.646750,-0.950627,-1.224982,0.323254
